thesis_content,evidence_path,classification
Dataset/splits,artifacts/strategy_b_phase_ab/strategy-b-phase-ab-20260714-475a672/dataset_manifest.json,official protocol evidence
Phase C comparison/ablations,artifacts/strategy_b_phase_c/strategy-b-phase-c-20260714-5d34a66/model_summary.csv,official development evidence
Final model roles,artifacts/strategy_b_phase_e_prediction/strategy-b-phase-e-prediction-20260714-9007144/final_family_decision.json,official final development freeze
Final metrics/stability,artifacts/strategy_b_phase_e_prediction/strategy-b-phase-e-prediction-20260714-9007144/stability_summary.csv,official final development freeze
Confusion matrices,artifacts/strategy_b_phase_e_prediction/strategy-b-phase-e-prediction-20260714-9007144/confusion_matrices.csv,official final development freeze
PR curves,artifacts/strategy_b_phase_e_prediction/strategy-b-phase-e-prediction-20260714-9007144/precision_recall_curve_points.csv,official final development freeze
Continuous G3,artifacts/strategy_b_phase_e_prediction/strategy-b-phase-e-prediction-20260714-9007144/regression_metrics.csv,secondary analysis
Recommendation technical metrics,artifacts/strategy_b_phase_d_recommendation/strategy-b-phase-d-recommendation-20260715-407ac0f/technical_safety_metrics.json,official technical recommendation evidence
Expert casebook,artifacts/strategy_b_phase_d_recommendation/strategy-b-phase-d-recommendation-20260715-407ac0f/expert_casebook.csv,expert validation pending
Database lineage,database/migrations/001_create_source_ml_schema.sql ... 004_governed_recommendation_phase_d.sql,source contract
