idea,problem_addressed,expected_value,data_already_available,needs_new_gemini_labels,needs_retraining,needs_new_heldout,implementation_complexity,scientific_risk,leakage_risk,estimated_artifact_impact,recommended_for_deeper_design
rebase to Phase4 C0 risk,G01 G02 G03,Makes rec consume current prediction authority,C0 contracts+builder on main; H1 OOF table only on 17b519b,no for rebase itself,yes EBM+maybe Snorkel,yes Panel C later,HIGH,HIGH if thresholds copied from H1,MEDIUM if cutoff rebuilt sloppily,"new feature table, new OOF risk, new models; keep V2 freeze untouched",YES
reuse existing Gemini labels,avoid full relabel cost,Preserve 1117+557 expensive reviews,frozen jsonl on main; prompts on 17b519b,no now,no,Panel B still not for tuning,LOW,MEDIUM because risk_band in prompt,LOW if used as LF not GT leakage,portability table only this phase,YES
selective additional Gemini labels later,G06 coverage holes TARGETED_CONTENT_REVIEW EARLY_20; C0-shifted bands,Fill rare cells without full relabel,identify cells now; do not label now,yes later subset,maybe,not Panel B,MEDIUM,MEDIUM,LOW if blinded protocol reused,new jsonl; never overwrite frozen,YES
refit weak-label model later,behavioral LFs + Gemini on new evidence,New ordinal targets for EBM,LF code incomplete on main (stubs vs V4),no if Gemini reused,yes Snorkel,no,MEDIUM,MEDIUM,HIGH if fit on Panel B,new label parquet; freeze old,YES
refit five EBMs later,H1 risk in features,Align ranker to C0,joblib+schema on main; training rows need rebuild,no if labels reused,yes,yes for claims,MEDIUM,MEDIUM,MEDIUM,new joblibs; keep V2 hashes,YES
keep five EBM as strong baseline,need a simple defensible V3 comparator,V2 protocol already beat action+stage,frozen models,no,no for frozen baseline,new heldout to compare fairly,LOW,LOW if frozen not retuned,LOW,evaluate-only,YES
real label-conflict signal,G07,Activate HUMAN_REVIEW for LF disagreement,vote matrix on main,no,no,no,LOW,LOW,MEDIUM if leaked into ranker (forbidden),router feature only,YES
real OOD signal,G07,Fail-closed on unseen modules/stages,not fitted; router says UNAVAILABLE,no,yes detector,no,MEDIUM,MEDIUM,HIGH if fit using heldout,new detector artifact,MAYBE
borderline human-review ranked candidates,G08,Reviewers see top-k instead of empty,pipeline already ranks after HIGH,no,no,no,LOW,LOW,LOW,code behavior change later,YES
personalized deterministic plans,static templates ignore evidence/stage/risk,More useful plans without ML,plan_builder templates,no,no,no,LOW,LOW,LOW,template rules,YES
workload/conflict controller,no weekly-minute cap across top-k,Prevent incompatible action stacks,CandidateAction.weekly_minutes exists in foundation contracts unused by V2 pipeline,no,no,no,LOW,LOW,LOW,router/plan postprocess,MAYBE
temporal recommendation consistency,no cross-stage consistency constraint,Avoid flip-flop 20->35,not implemented,no,maybe,yes to evaluate,HIGH,MEDIUM,MEDIUM,new protocol,MAYBE
pairwise residual ranking on top of EBM,EBM independent per action; no listwise interaction,Possible NDCG gain,Panel A OOF exists,no,yes extra model,yes,HIGH,HIGH overfitting to V2 labels,HIGH if using Panel B,new ranker family,MAYBE
new Panel C heldout,G15,Valid confirmatory eval after C0 rebase,sampling.py exists; do not reuse Panel B,yes new cases,no for panel itself,yes,HIGH cost,LOW if preregistered,LOW,new freeze; never overwrite Panel B,YES
