component,file,entrypoint,current_role,data_inputs,model_dependency,status,recommended_action,evidence
RecommendationService,src/database/services/recommendation_service.py,RecommendationService.recommend,retrieve stored plan,"source_record_id; prediction_stage",none active,RETRIEVE_ONLY,KEEP,"delegates only to plan_for_record"
RecommendationRepository,src/database/repositories/recommendation_repository.py,RecommendationRepository.plan_for_record,SQL retrieval,"source_record_id; prediction_stage",stored lineage only,ACTIVE,KEEP,"SELECT from recommendation.plan_summary and plan"
RiskProfile contract,src/recommendation/risk_profile.py,RiskProfile,thin public contract,"record_id; probability; risk_label",probability only,INCOMPLETE,REFACTOR,"does not expose class probabilities uncertainty checkpoint or embedding"
ObservedState contract,src/recommendation/observed_state.py,ObservedState,thin public contract,"cutoff; evidence",none,INCOMPLETE,REFACTOR,"no typed lineage mask or cutoff validation"
Policy metadata,src/recommendation/policy.py,module constants,metadata only,none,none,PENDING_EXPERT_LABELS,KEEP,"honest expert gate"
Current generator,src/recommendation/,MISSING,no generator on current branch,MISSING,MISSING,MISSING,MISSING,"historical generators removed from branch"
V6.2 rule generator,commit d38f303:src/studies/v6_2/recommendation.py,generate_plan,historical artefact builder,"frozen F2 risk profile; observed pre-cutoff state",class probabilities and uncertainty; no embedding,HISTORICAL,REPLACE,"threshold rules select actions; zero-action abstention"
V5.2 engine,commit 177a87a:src/recommendation/v5_2/engine.py,engine entrypoints,historical scored rules,"risk profile; observed evidence",prediction-derived risk fields; no embedding,HISTORICAL,REPLACE,"persisted DB plans use v5_2 and all contain actions"
Governed UCI policy,commit 4915a12:src/governed_recommendation.py,build_governed_recommendation,historical rule policy,"predicted class; confidence; G1/G2 trajectory",class and confidence,HISTORICAL,KEEP,"use governance and advisor review ideas; do not reuse selection rules as labels"
Legacy recommendation MLP,commit aebdd84:src/recommendation.py,MLPLearningPathEngine,historical independent risk predictor,"hand-built features; weak targets",independent MLP,HISTORICAL,REMOVE,"weak supervision and independent risk prediction violate V2 architecture"
Action taxonomy,commit d38f303:src/recommendation/v5_2/taxonomy.py,ACTION_TAXONOMY,historical candidate definitions,static catalog,none,HISTORICAL,REFACTOR,"seven defined actions but V6.2 selects only four"
Workload/action guard,commit d38f303:src/studies/v6_2/recommendation.py,_workload_guard,historical constraints,candidate actions,none,HISTORICAL,KEEP,"max 4 and 180 minutes; duplicate protection"
Prerequisite solver,commit 4915a12:src/governed_recommendation.py,_validate_actions,historical prerequisite checks,candidate actions,none,HISTORICAL,REFACTOR,"not present in current V6.2 generator"
Abstention,artifacts/final/recommendation/recommendation_technical_validation.json,artefact validation,validated historical policy,"confidence; disagreement; lineage",frozen V6 F2 profile,VALIDATED_ARTEFACT,KEEP,"3216 zero-action abstentions"
Feature lineage,artifacts/final/recommendation/recommendation_feature_lineage.json,artefact contract,pre-cutoff evidence lineage,"activity; inactivity; assessment; grade trend",frozen V6 support fields,VALIDATED_ARTEFACT,KEEP,"post-cutoff and sensitive features prohibited"
Advisor review,src/database/services/recommendation_service.py,add_advisor_review,persist human review,"plan_id; reviewer; status",none,ACTIVE,REFACTOR,"status vocabulary does not yet enforce V2 four-state contract"
Expert label tables,database/final/migrations/011_create_v6_2_expert_review_validation.sql,migration 011,empty label storage,review forms,none,SCHEMA_ONLY,REFACTOR,"0 reviewers and 0 scored cases"
Recommendation database schema,database/final/migrations/004_create_recommendation.sql,migration 004,plan/action/review persistence,stored V5.2 plans,legacy prediction version,ACTIVE,KEEP,"15378 plans; 27355 actions; 0 reviews"
Neural Action Ranker,MISSING,MISSING,not implemented,MISSING,frozen CNN-BiLSTM embedding,MISSING,MISSING,"Phase 3 only after real expert labels"
Constraint Solver,MISSING,MISSING,not implemented as a standalone component,MISSING,ranker scores plus catalog,MISSING,MISSING,"Phase 4; reuse validated guard semantics"
Learning Plan Builder,MISSING,MISSING,not implemented for V2,MISSING,selected actions,MISSING,MISSING,"Phase 4"
