field,historical_08781,benchmark_v2_legacy_refit,benchmark_v2_tuned,impact
architecture,CNN-BiLSTM sequence-only,CNN-BiLSTM sequence-only,CNN-BiLSTM sequence-only,forward family unchanged
conv_channels,per-fold 32,16 fixed,8|32,material difference
kernel_size,1,1,1|2,material difference
batchnorm,Conv1d->BatchNorm1d->ReLU,same,same,unchanged component
lstm_hidden_size,16|32,32 fixed,8|16|32,material difference
head_and_sequence_dropout,per-fold tuned,0.45698|0.19725,per-fold tuned,material difference
loss,weighted_ce or focal per outer fold,weighted_ce,weighted_ce,focal candidate absent from V2 tuned
resampling,SMOTE in outer folds 1 and 2,none fixed,none fixed,material search-space difference
learning_rate,0.00884 to 0.01608,0.00467,0.00160 to 0.00795,material range difference
max_epochs_and_patience,40|60 and 8|12,40 and 12,20 and 5,material budget difference
early_stopping,internal outer-train split,internal split then full refit,internal split then full refit,clean control differs only by final refit
scheduler_and_SWA,ReduceLROnPlateau plus SWA evaluation,epoch-selection phase only; refit has no scheduler,same as legacy refit,material protocol difference
seed,42,42|52|62|72|82,42|52|62|72|82,estimator differs
feature_and_label_order,G1|G2 and Low|Medium|High,same,same,no observed discrepancy
parameter_count,13059 final config,13059,fold-dependent,legacy refit is only a final-config approximation
