item_id,intervention_name,description,target_risks,difficulty_level,estimated_hours_per_week,recommended_phase,expected_effect,prerequisite_level
attendance_monitoring,Daily Attendance Monitoring,Sign-in sheets and weekly academic advisor check-ins to rebuild class attendance consistency.,attendance,1,0.5,Stabilize,0.9,0
time_planning,Time Management Workshop,"Guided sessions on creating weekly study schedules, prioritizing tasks, and minimizing distractions.","time_management,study_time",1,1.0,Stabilize,0.7,0
counselor_meeting,Academic Counselor Consultation,"One-on-one sessions to address personal wellbeing, academic anxiety, and home/school support alignment.","attendance,wellbeing,parent_support,school_support",1,1.0,Stabilize,0.85,0
lms_onboarding,LMS Navigation Tutorial,Interactive walkthrough of the digital learning system to track course updates and resources.,"resource_usage,course_updates",1,1.0,Stabilize,0.8,0
parent_sync,Parent-Teacher Engagement Sync,Establishing weekly progress reporting channels between school and family to reinforce oversight.,"parent_support,school_support",1,1.0,Stabilize,0.75,0
peer_tutoring,Peer-Led Study Tutoring,Collaborative learning sessions with top-performing peers to target specific concept gaps.,"failure_history,grade_gap,class_engagement",2,2.0,Practice,0.8,0
extra_exercises,Targeted Practice Exercises,Curated weekly practice worksheets focusing on areas with negative grade gaps or failing histories.,"failure_history,grade_gap,resource_usage",2,3.0,Practice,0.9,1
study_group,Facilitated Study Group,Weekly group discussions focusing on course concepts and collaborative exercises.,"class_engagement,resource_usage,study_time",2,2.0,Reinforce,0.75,0
interactive_quiz,LMS Interactive Quizzing,Gamified weekly self-assessment quizzes on LMS to boost digital resource engagement.,"resource_usage,class_engagement,course_updates",1,1.5,Reinforce,0.85,0
stress_management,Stress & Lifestyle Management Workshop,"Group counseling sessions regarding balanced lifestyle, reducing harmful habits, and exam stress relief.","wellbeing,time_management",1,1.5,Reinforce,0.7,0
remedial_class,Remedial Topic Bootcamps,Instructor-led intensive review sessions on fundamental subjects to fix cumulative failure histories.,"failure_history,grade_gap",3,4.0,Practice,0.95,1
advanced_seminar,Advanced Subject Seminar,Enrichment seminar focusing on applications and advanced extensions of the course materials.,,3,3.0,Evaluate & Adjust,0.6,2
