component,old_v2_source,current_phase4_source,semantic_match,numeric_distribution_shift_likely,requires_rebuild,requires_retraining,requires_relabeling,requires_only_adapter,action,risk_level,evidence
risk_probability,H1 OOF mean P(at-risk) five seeds 42/1201/2026/3407/7319 3 outer folds; landmark_rows prediction_risk_probability,PredictionResult.risk_probability from Hybrid C0 inner 3x3; seeds 42/1201/2026; no outer,false,true,true,true,false,false,RETRAIN_LATER,HIGH,RECOMMEND_HYBRID_CHECKPOINT_MANIFEST.json historical_source_alias=H1_TABULAR_RESIDUAL_EXPERT; ranker FEATURE_COLUMNS includes risk_probability
predicted_risk,H1 predicted_class in PredictionContext,PredictionResult.predicted_risk binary via STOP threshold,partial,true,true,false,false,true,ADAPT,HIGH,src/prediction/contracts.py vs recommend_hybrid/contracts.py PredictionContext
uncertainty,binary Shannon entropy H2 of H1 5-seed mean P in data_builder.py line 49; NOT seed std,predict_results always sets the same H2 formula on a single C0 p,formula_match_p_differs,true,true,true,false,false,REVALIDATE,HIGH,src/prediction/inference.py vs data_builder.py; seed_disagreement still missing
seed_disagreement,required by contract; always NA in landmark artifact; EBM excluded_all_nan_features,C0 inner protocol has 3 seeds not 5; no V2-compatible disagreement artifact,false,true,true,false,false,false,REBUILD_LATER,MEDIUM,FIVE_EBM_MANIFEST excluded seed_disagreement; ROUTER maximum_seed_disagreement null
stage naming,EARLY_20 EARLY_35 MIDDLE_50 LATE_75; FINAL_EVALUATION non-intervention,OULAD 20pct 35pct 50pct 75pct 100pct; UCI S0 S1 S2 unused by rec,alias_only,false,false,false,false,true,ADAPT,MEDIUM,src/recommend_hybrid/contracts.py::Stage vs src/prediction/contracts.py OULAD_STATES
cutoff timing,V2 observation_end < cutoff; query_evidence inactivity uses cutoff-1-last_day,Phase4 observation_start <= t < cutoff,partial,true,true,false,false,false,REVALIDATE,HIGH,feature_contract.yaml vs oulad_features.py events_strictly_before_cutoff
student identity,student_key from id_student in landmark,record_id sha256 oulad|module|presentation|id_student[:24],false,false,true,false,false,true,ADAPT,HIGH,oulad.py record_id vs data_builder student_key=id_student
course identity,course_key / code_module+code_presentation,embedded in record_id; not a first-class PredictionResult field,partial,false,false,false,false,true,ADAPT,MEDIUM,PredictionResult has dataset+record_id only
static evidence,not used by EBM; StudentRepresentation 64/32 unused,Phase4 ContextPreprocessor static_dim,n/a,false,false,false,false,false,RETIRE,LOW,V2 ranker has no static context features
activity evidence,active_day_rate inactivity_streak regularity_score from VLE pre-cutoff,Phase4 temporal 11ch + aggregate 13ch D3_both_safe,partial,true,true,false,subset later,false,REVALIDATE,HIGH,Names overlap conceptually; definitions not proven equal
assessment evidence,missing_assessment_count due_soon_count completion_rate assessments_due,Phase4 aggregates assessments_due_to_date submitted completion_rate missed late,partial,true,true,false,subset later,false,REVALIDATE,HIGH,due_soon_count has no Phase4 analog
quiz evidence,quiz_activity quiz_available from VLE quiz types,Phase4 quiz_activity channel + quiz type set,partial,true,true,false,false,false,REVALIDATE,MEDIUM,oulad_features QUIZ_TYPES={quiz}
content coverage,fraction of train-defined weeks with content interaction,Phase4 content_activity weekly channel; no identical coverage fraction,false,true,true,false,subset later,false,REBUILD_LATER,MEDIUM,feature_contract.yaml content_coverage vs OULAD_TEMPORAL_CHANNELS
risk policy thresholds,selected low=0.2 high=0.8 umax=0.6 smax=0.15 on H1 P(risk) all 3 folds,must reselect on C0 P(risk); do not copy H1 thresholds,false,true,false,false,false,false,REVALIDATE,HIGH,17b519b risk_policy/outer_*.json; query_evidence hardcoded 0.3/0.6 CONFLICT
EBM input distribution,16 features including H1 risk+entropy; 1499 retained Panel A rows,same feature names would have new risk/uncertainty and possibly new evidence,false,true,true,true,false,false,RETRAIN_LATER,HIGH,FIVE_EBM_MANIFEST.json features
Gemini labels,1117 Panel A + 557 Panel B; prompt has risk_band/uncertainty_band from H1; evidence_ids behavioral,no new labels this phase,partial,maybe,false,false,subset later,false,RELABEL_SUBSET_LATER,MEDIUM,raw request case_e0f9d436... includes risk_band; evidence enum excludes risk_probability
Snorkel labels,OOF LabelModel 7 sources; Gemini weight ~0.78-0.86; min 2 families,votes depend on Gemini + behavioral LFs + feasibility; behavioral LFs use evidence that may shift,partial,true,false,true,false,false,RETRAIN_LATER,HIGH,label_model_manifest.json; do not refit now
feasibility,deterministic v4 policy; independent of P(risk) except HIGH-only ranking in candidate_builder,can keep if evidence fields rebuilt with same semantics,true_if_evidence_match,maybe,false,false,false,true,KEEP,MEDIUM,action_eligibility.py
safety routing,thresholds freeze; ood/label_conflict/seed inactive,will fire differently under C0 scores/uncertainty,partial,true,false,false,false,false,REVALIDATE,HIGH,ROUTER_FREEZE_MANIFEST.json
learning plans,static Vietnamese templates per action,unchanged,true,false,false,false,false,true,KEEP,LOW,plan_builder.py ACTION_PLANS
simulator,stub SimulationResult; protocol wants frozen Hybrid seed rescoring,C0 forward exists but simulator does not call it,false,n/a,true,false,false,false,REBUILD_LATER,MEDIUM,simulator/core.py vs recommendation.yaml simulator block
