candidate_id,outer_fold,resolved_config_hash,resolved_config
M1,0,03c7aeaa68e43ddb812caf5fea2488ef8b1b79f740ff68d352ad79c87540942c,"{""candidate_id"": ""M1"", ""fixed_constants"": {""class_weight"": null, ""features"": [""G1"", ""G2""], ""outer_refit"": ""full_outer_train"", ""preprocessing"": ""fold_train_minmax"", ""random_state"": 42}, ""parameters"": {""max_depth"": null, ""max_features"": ""log2"", ""min_samples_leaf"": 4, ""n_estimators"": 100}, ""schema_version"": ""strategy_b_phase_c_ml_resolved_v1""}"
M2,0,ed8043bc104b7f7bebeb62914d8afb63b2ee6d23b54e15f028af0e2f8c56f030,"{""candidate_id"": ""M2"", ""fixed_constants"": {""class_weight"": null, ""features"": [""G1"", ""G2""], ""outer_refit"": ""full_outer_train"", ""preprocessing"": ""fold_train_minmax"", ""random_state"": 42}, ""parameters"": {""C"": 16.676089618355412, ""gamma"": 0.6281802752955755}, ""schema_version"": ""strategy_b_phase_c_ml_resolved_v1""}"
N0,0,00f95f427a23c15f476b2c7eadc0d7c1b40d2c740ba75c852fc9f71d597261e7,"{""architecture"": ""cnn_bilstm_classifier"", ""architecture_variant"": ""cnn_bilstm"", ""batch_size"": 16, ""candidate_id"": ""N0"", ""class_weight_mode"": ""none"", ""classifier_head"": ""linear"", ""cnn_channels"": 16, ""cnn_kernel_size"": 1, ""context_mlp_enabled"": false, ""drop_last_train"": false, ""dropout"": 0.13143950827730871, ""evidence_role"": ""phase_c_main_candidate"", ""feature_contract"": {""context_columns"": [], ""scenario"": ""late_stage"", ""sequence_columns"": [""G1"", ""G2""], ""target_or_derived_features_forbidden"": true}, ""fixed_constants"": {""architecture_variant"": ""cnn_bilstm"", ""batch_norm_allowed"": false, ""candidate_id"": ""N0"", ""drop_last_train"": false, ""feature_contract"": ""late_stage_g1_g2"", ""head_type"": ""nominal_softmax"", ""normalization_options"": [""none"", ""layer_norm""], ""preprocessing"": ""fold_train_only"", ""raw_feature_only"": true, ""scheduler"": {""parameters"": {}, ""replayable"": true, ""type"": ""fixed_lr""}, ""swa"": {""batch_norm_statistics_updated"": false, ""enabled"": false, ""replayable"": true}, ""target_contract"": ""student_g3_3class_v1""}, ""head_type"": ""nominal_softmax"", ""hidden_dim"": 8, ""learning_rate"": 0.006983393298257698, ""loss"": ""cross_entropy"", ""lstm_hidden_dim"": 8, ""max_epochs"": 60, ""normalization"": ""none"", ""num_layers"": 1, ""oversample_method"": ""none"", ""parameter_count"": 1747, ""parameter_guardrail"": {""action"": ""prune_or_fail"", ""maximum_trainable_parameters"": 5000}, ""patience"": 10, ""preprocessing"": {""deterministic_transforms"": ""none"", ""feature_selection"": ""none"", ""fit_scope"": ""gradient_training_partition_then_full_refit_partition"", ""oversampling_scope"": ""gradient_training_partition_only"", ""scaler"": ""minmax"", ""unknown_category_policy"": ""map_to_zero""}, ""resampling_k_neighbors"": 5, ""scheduler"": {""parameters"": {}, ""replayable"": true, ""type"": ""fixed_lr""}, ""schema_version"": ""strategy_b_resolved_config_v1"", ""sequence_dropout"": 0.14557028904249983, ""smote_ratio"": 1.0, ""suggested_parameters"": {""batch_size"": 16, ""cnn_channels"": 16, ""cnn_kernel_size"": 1, ""dropout"": 0.13143950827730871, ""learning_rate"": 0.006983393298257698, ""lstm_hidden_dim"": 8, ""max_epochs"": 60, ""normalization"": ""none"", ""sequence_dropout"": 0.14557028904249983, ""weight_decay"": 2.124475780221504e-06}, ""swa"": {""batch_norm_statistics_updated"": false, ""enabled"": false, ""replayable"": true}, ""target_contract"": {""bins"": [0, 9, 14, 20], ""labels"": [""Low"", ""Medium"", ""High""], ""target_column"": ""G3"", ""target_mode"": ""3class""}, ""weight_decay"": 2.124475780221504e-06}"
N1,0,4c7f6bfab4e88812b41b2b4ff9b26c86c69900e029d9f73846a9d26f9b7e8d7c,"{""architecture"": ""cnn_bilstm_classifier"", ""architecture_variant"": ""cnn_bilstm"", ""batch_size"": 16, ""candidate_id"": ""N1"", ""class_weight_mode"": ""none"", ""classifier_head"": ""linear"", ""cnn_channels"": 16, ""cnn_kernel_size"": 1, ""context_mlp_enabled"": false, ""drop_last_train"": false, ""dropout"": 0.01816315286979612, ""evidence_role"": ""phase_c_main_candidate"", ""feature_contract"": {""context_columns"": [], ""scenario"": ""late_stage"", ""sequence_columns"": [""G1"", ""G2""], ""target_or_derived_features_forbidden"": true}, ""fixed_constants"": {""architecture_variant"": ""cnn_bilstm"", ""batch_norm_allowed"": false, ""candidate_id"": ""N1"", ""drop_last_train"": false, ""feature_contract"": ""late_stage_g1_g2"", ""head_type"": ""ordered_cutpoint"", ""normalization_options"": [""none"", ""layer_norm""], ""preprocessing"": ""fold_train_only"", ""raw_feature_only"": true, ""scheduler"": {""parameters"": {}, ""replayable"": true, ""type"": ""fixed_lr""}, ""swa"": {""batch_norm_statistics_updated"": false, ""enabled"": false, ""replayable"": true}, ""target_contract"": ""student_g3_3class_v1""}, ""head_type"": ""ordered_cutpoint"", ""hidden_dim"": 8, ""learning_rate"": 0.009860425844086054, ""loss"": ""cross_entropy"", ""lstm_hidden_dim"": 4, ""max_epochs"": 80, ""normalization"": ""none"", ""num_layers"": 1, ""oversample_method"": ""none"", ""parameter_count"": 747, ""parameter_guardrail"": {""action"": ""prune_or_fail"", ""maximum_trainable_parameters"": 5000}, ""patience"": 10, ""preprocessing"": {""deterministic_transforms"": ""none"", ""feature_selection"": ""none"", ""fit_scope"": ""gradient_training_partition_then_full_refit_partition"", ""oversampling_scope"": ""gradient_training_partition_only"", ""scaler"": ""minmax"", ""unknown_category_policy"": ""map_to_zero""}, ""resampling_k_neighbors"": 5, ""scheduler"": {""parameters"": {}, ""replayable"": true, ""type"": ""fixed_lr""}, ""schema_version"": ""strategy_b_resolved_config_v1"", ""sequence_dropout"": 0.008675503162283382, ""smote_ratio"": 1.0, ""suggested_parameters"": {""batch_size"": 16, ""cnn_channels"": 16, ""cnn_kernel_size"": 1, ""dropout"": 0.01816315286979612, ""learning_rate"": 0.009860425844086054, ""lstm_hidden_dim"": 4, ""max_epochs"": 80, ""normalization"": ""none"", ""sequence_dropout"": 0.008675503162283382, ""weight_decay"": 7.831179987950142e-05}, ""swa"": {""batch_norm_statistics_updated"": false, ""enabled"": false, ""replayable"": true}, ""target_contract"": {""bins"": [0, 9, 14, 20], ""labels"": [""Low"", ""Medium"", ""High""], ""target_column"": ""G3"", ""target_mode"": ""3class""}, ""weight_decay"": 7.831179987950142e-05}"
N2,0,7e8e758ffe41c82d7184f344d46295c7dfdc72adc95c1b49b43a2278c9374556,"{""architecture"": ""cnn_bilstm_classifier"", ""architecture_variant"": ""mlp"", ""batch_size"": 16, ""candidate_id"": ""N2"", ""class_weight_mode"": ""none"", ""classifier_head"": ""linear"", ""cnn_channels"": 1, ""cnn_kernel_size"": 1, ""context_mlp_enabled"": false, ""drop_last_train"": false, ""dropout"": 0.1575769095135235, ""evidence_role"": ""phase_c_main_candidate"", ""feature_contract"": {""context_columns"": [], ""scenario"": ""late_stage"", ""sequence_columns"": [""G1"", ""G2""], ""target_or_derived_features_forbidden"": true}, ""fixed_constants"": {""architecture_variant"": ""mlp"", ""batch_norm_allowed"": false, ""candidate_id"": ""N2"", ""drop_last_train"": false, ""feature_contract"": ""late_stage_g1_g2"", ""head_type"": ""nominal_softmax"", ""normalization_options"": [""none"", ""layer_norm""], ""preprocessing"": ""fold_train_only"", ""raw_feature_only"": true, ""scheduler"": {""parameters"": {}, ""replayable"": true, ""type"": ""fixed_lr""}, ""swa"": {""batch_norm_statistics_updated"": false, ""enabled"": false, ""replayable"": true}, ""target_contract"": ""student_g3_3class_v1""}, ""head_type"": ""nominal_softmax"", ""hidden_dim"": 32, ""learning_rate"": 0.003570813535501082, ""loss"": ""cross_entropy"", ""lstm_hidden_dim"": 1, ""max_epochs"": 40, ""normalization"": ""layer_norm"", ""num_layers"": 1, ""oversample_method"": ""none"", ""parameter_count"": 259, ""parameter_guardrail"": {""action"": ""prune_or_fail"", ""maximum_trainable_parameters"": 5000}, ""patience"": 10, ""preprocessing"": {""deterministic_transforms"": ""none"", ""feature_selection"": ""none"", ""fit_scope"": ""gradient_training_partition_then_full_refit_partition"", ""oversampling_scope"": ""gradient_training_partition_only"", ""scaler"": ""minmax"", ""unknown_category_policy"": ""map_to_zero""}, ""resampling_k_neighbors"": 5, ""scheduler"": {""parameters"": {}, ""replayable"": true, ""type"": ""fixed_lr""}, ""schema_version"": ""strategy_b_resolved_config_v1"", ""sequence_dropout"": 0.0, ""smote_ratio"": 1.0, ""suggested_parameters"": {""batch_size"": 16, ""dropout"": 0.1575769095135235, ""hidden_dim"": 32, ""learning_rate"": 0.003570813535501082, ""max_epochs"": 40, ""normalization"": ""layer_norm"", ""num_layers"": 1, ""weight_decay"": 3.977622126893596e-06}, ""swa"": {""batch_norm_statistics_updated"": false, ""enabled"": false, ""replayable"": true}, ""target_contract"": {""bins"": [0, 9, 14, 20], ""labels"": [""Low"", ""Medium"", ""High""], ""target_column"": ""G3"", ""target_mode"": ""3class""}, ""weight_decay"": 3.977622126893596e-06}"
N3,0,cc5a8c7919e1e1779a0957787439893c78d359e355d66d3d356f2e187ac568b3,"{""architecture"": ""cnn_bilstm_classifier"", ""architecture_variant"": ""mlp"", ""batch_size"": 16, ""candidate_id"": ""N3"", ""class_weight_mode"": ""none"", ""classifier_head"": ""linear"", ""cnn_channels"": 1, ""cnn_kernel_size"": 1, ""context_mlp_enabled"": false, ""drop_last_train"": false, ""dropout"": 0.13877834425161997, ""evidence_role"": ""phase_c_main_candidate"", ""feature_contract"": {""context_columns"": [], ""scenario"": ""late_stage"", ""sequence_columns"": [""G1"", ""G2""], ""target_or_derived_features_forbidden"": true}, ""fixed_constants"": {""architecture_variant"": ""mlp"", ""batch_norm_allowed"": false, ""candidate_id"": ""N3"", ""drop_last_train"": false, ""feature_contract"": ""late_stage_g1_g2"", ""head_type"": ""ordered_cutpoint"", ""normalization_options"": [""none"", ""layer_norm""], ""preprocessing"": ""fold_train_only"", ""raw_feature_only"": true, ""scheduler"": {""parameters"": {}, ""replayable"": true, ""type"": ""fixed_lr""}, ""swa"": {""batch_norm_statistics_updated"": false, ""enabled"": false, ""replayable"": true}, ""target_contract"": ""student_g3_3class_v1""}, ""head_type"": ""ordered_cutpoint"", ""hidden_dim"": 8, ""learning_rate"": 0.006168756916040813, ""loss"": ""cross_entropy"", ""lstm_hidden_dim"": 1, ""max_epochs"": 80, ""normalization"": ""none"", ""num_layers"": 2, ""oversample_method"": ""none"", ""parameter_count"": 107, ""parameter_guardrail"": {""action"": ""prune_or_fail"", ""maximum_trainable_parameters"": 5000}, ""patience"": 10, ""preprocessing"": {""deterministic_transforms"": ""none"", ""feature_selection"": ""none"", ""fit_scope"": ""gradient_training_partition_then_full_refit_partition"", ""oversampling_scope"": ""gradient_training_partition_only"", ""scaler"": ""minmax"", ""unknown_category_policy"": ""map_to_zero""}, ""resampling_k_neighbors"": 5, ""scheduler"": {""parameters"": {}, ""replayable"": true, ""type"": ""fixed_lr""}, ""schema_version"": ""strategy_b_resolved_config_v1"", ""sequence_dropout"": 0.0, ""smote_ratio"": 1.0, ""suggested_parameters"": {""batch_size"": 16, ""dropout"": 0.13877834425161997, ""hidden_dim"": 8, ""learning_rate"": 0.006168756916040813, ""max_epochs"": 80, ""normalization"": ""none"", ""num_layers"": 2, ""weight_decay"": 2.010616670158519e-06}, ""swa"": {""batch_norm_statistics_updated"": false, ""enabled"": false, ""replayable"": true}, ""target_contract"": {""bins"": [0, 9, 14, 20], ""labels"": [""Low"", ""Medium"", ""High""], ""target_column"": ""G3"", ""target_mode"": ""3class""}, ""weight_decay"": 2.010616670158519e-06}"
A1,0,be681c1fb0b59b5501f8fc2141902d16553fc4bdbf95149189b63639a2a52b3a,"{""architecture"": ""cnn_bilstm_classifier"", ""architecture_variant"": ""cnn_only"", ""batch_size"": 16, ""candidate_id"": ""A1"", ""class_weight_mode"": ""none"", ""classifier_head"": ""linear"", ""cnn_channels"": 16, ""cnn_kernel_size"": 1, ""context_mlp_enabled"": false, ""drop_last_train"": false, ""dropout"": 0.13143950827730871, ""evidence_role"": ""phase_c_fixed_parameter_matched_ablation"", ""feature_contract"": {""context_columns"": [], ""scenario"": ""late_stage"", ""sequence_columns"": [""G1"", ""G2""], ""target_or_derived_features_forbidden"": true}, ""fixed_constants"": {""architecture_variant"": ""cnn_only"", ""batch_norm_allowed"": false, ""candidate_id"": ""A1"", ""drop_last_train"": false, ""feature_contract"": ""late_stage_g1_g2"", ""head_type"": ""nominal_softmax"", ""normalization_options"": [""none"", ""layer_norm""], ""preprocessing"": ""fold_train_only"", ""raw_feature_only"": true, ""scheduler"": {""parameters"": {}, ""replayable"": true, ""type"": ""fixed_lr""}, ""swa"": {""batch_norm_statistics_updated"": false, ""enabled"": false, ""replayable"": true}, ""target_contract"": ""student_g3_3class_v1""}, ""head_type"": ""nominal_softmax"", ""hidden_dim"": 8, ""learning_rate"": 0.006983393298257698, ""loss"": ""cross_entropy"", ""lstm_hidden_dim"": 8, ""matched_to_config_hash"": ""00f95f427a23c15f476b2c7eadc0d7c1b40d2c740ba75c852fc9f71d597261e7"", ""max_epochs"": 60, ""normalization"": ""none"", ""num_layers"": 1, ""oversample_method"": ""none"", ""parameter_count"": 83, ""parameter_guardrail"": {""action"": ""prune_or_fail"", ""maximum_trainable_parameters"": 5000}, ""patience"": 10, ""preprocessing"": {""deterministic_transforms"": ""none"", ""feature_selection"": ""none"", ""fit_scope"": ""gradient_training_partition_then_full_refit_partition"", ""oversampling_scope"": ""gradient_training_partition_only"", ""scaler"": ""minmax"", ""unknown_category_policy"": ""map_to_zero""}, ""resampling_k_neighbors"": 5, ""scheduler"": {""parameters"": {}, ""replayable"": true, ""type"": ""fixed_lr""}, ""schema_version"": ""strategy_b_resolved_config_v1"", ""sequence_dropout"": 0.14557028904249983, ""smote_ratio"": 1.0, ""suggested_parameters"": {}, ""swa"": {""batch_norm_statistics_updated"": false, ""enabled"": false, ""replayable"": true}, ""target_contract"": {""bins"": [0, 9, 14, 20], ""labels"": [""Low"", ""Medium"", ""High""], ""target_column"": ""G3"", ""target_mode"": ""3class""}, ""weight_decay"": 2.124475780221504e-06}"
A2,0,92b6bb9115c9baf7873a7677ba6424eba25ad23101dead5ed2231d7c62c2967e,"{""architecture"": ""cnn_bilstm_classifier"", ""architecture_variant"": ""bilstm_only"", ""batch_size"": 16, ""candidate_id"": ""A2"", ""class_weight_mode"": ""none"", ""classifier_head"": ""linear"", ""cnn_channels"": 16, ""cnn_kernel_size"": 1, ""context_mlp_enabled"": false, ""drop_last_train"": false, ""dropout"": 0.13143950827730871, ""evidence_role"": ""phase_c_fixed_parameter_matched_ablation"", ""feature_contract"": {""context_columns"": [], ""scenario"": ""late_stage"", ""sequence_columns"": [""G1"", ""G2""], ""target_or_derived_features_forbidden"": true}, ""fixed_constants"": {""architecture_variant"": ""bilstm_only"", ""batch_norm_allowed"": false, ""candidate_id"": ""A2"", ""drop_last_train"": false, ""feature_contract"": ""late_stage_g1_g2"", ""head_type"": ""nominal_softmax"", ""normalization_options"": [""none"", ""layer_norm""], ""preprocessing"": ""fold_train_only"", ""raw_feature_only"": true, ""scheduler"": {""parameters"": {}, ""replayable"": true, ""type"": ""fixed_lr""}, ""swa"": {""batch_norm_statistics_updated"": false, ""enabled"": false, ""replayable"": true}, ""target_contract"": ""student_g3_3class_v1""}, ""head_type"": ""nominal_softmax"", ""hidden_dim"": 8, ""learning_rate"": 0.006983393298257698, ""loss"": ""cross_entropy"", ""lstm_hidden_dim"": 8, ""matched_to_config_hash"": ""00f95f427a23c15f476b2c7eadc0d7c1b40d2c740ba75c852fc9f71d597261e7"", ""max_epochs"": 60, ""normalization"": ""none"", ""num_layers"": 1, ""oversample_method"": ""none"", ""parameter_count"": 755, ""parameter_guardrail"": {""action"": ""prune_or_fail"", ""maximum_trainable_parameters"": 5000}, ""patience"": 10, ""preprocessing"": {""deterministic_transforms"": ""none"", ""feature_selection"": ""none"", ""fit_scope"": ""gradient_training_partition_then_full_refit_partition"", ""oversampling_scope"": ""gradient_training_partition_only"", ""scaler"": ""minmax"", ""unknown_category_policy"": ""map_to_zero""}, ""resampling_k_neighbors"": 5, ""scheduler"": {""parameters"": {}, ""replayable"": true, ""type"": ""fixed_lr""}, ""schema_version"": ""strategy_b_resolved_config_v1"", ""sequence_dropout"": 0.14557028904249983, ""smote_ratio"": 1.0, ""suggested_parameters"": {}, ""swa"": {""batch_norm_statistics_updated"": false, ""enabled"": false, ""replayable"": true}, ""target_contract"": {""bins"": [0, 9, 14, 20], ""labels"": [""Low"", ""Medium"", ""High""], ""target_column"": ""G3"", ""target_mode"": ""3class""}, ""weight_decay"": 2.124475780221504e-06}"
M1,1,eff7de9bd51e1676e9427a1889ae1751cb848a99680805c303cedb5ff16f9e40,"{""candidate_id"": ""M1"", ""fixed_constants"": {""class_weight"": null, ""features"": [""G1"", ""G2""], ""outer_refit"": ""full_outer_train"", ""preprocessing"": ""fold_train_minmax"", ""random_state"": 42}, ""parameters"": {""max_depth"": 3, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}, ""schema_version"": ""strategy_b_phase_c_ml_resolved_v1""}"
M2,1,ed4b8c237a179c09b88b2a0117da05c1aa720c035bd82c30f96188012e43cce6,"{""candidate_id"": ""M2"", ""fixed_constants"": {""class_weight"": null, ""features"": [""G1"", ""G2""], ""outer_refit"": ""full_outer_train"", ""preprocessing"": ""fold_train_minmax"", ""random_state"": 42}, ""parameters"": {""C"": 25.21612145915125, ""gamma"": 1.9413203760106956}, ""schema_version"": ""strategy_b_phase_c_ml_resolved_v1""}"
